time_s,vx_ms,vy_ms,pitch_deg,roll_deg
38.099975,-0.045460,0.039923,-1.600000,-1.220000
38.200005,-0.011704,0.013946,-1.510000,-1.680000
38.300014,-0.055229,-0.031939,-1.430000,-1.930000
38.400017,-0.049138,-0.020153,-1.520000,-1.830000
38.500044,-0.049885,-0.003651,-1.570000,-1.720000
38.600032,-0.025920,-0.038426,-1.450000,-1.800000
38.699975,-0.037948,-0.077047,-1.380000,-1.860000
38.799987,-0.060459,-0.063285,-1.680000,-1.730000
38.900006,-0.051094,-0.047705,-2.030000,-1.460000
39.000003,-0.039690,-0.052212,-2.050000,-1.530000
39.099978,-0.063272,-0.055920,-1.770000,-1.660000
39.199976,-0.061465,-0.050881,-2.000000,-1.530000
39.300017,-0.084831,-0.100372,-2.200000,-1.320000
39.399974,-0.113057,-0.028804,-2.310000,-1.030000
39.500003,-0.090876,-0.030985,-2.180000,-1.340000
39.599986,-0.073373,-0.040722,-2.380000,-1.990000
39.700018,-0.101321,-0.054317,-2.630000,-2.140000
39.800002,-0.109811,-0.033699,-2.820000,-1.930000
39.900014,-0.076911,-0.032657,-2.820000,-1.900000
39.999974,-0.084186,-0.029333,-3.050000,-2.130000
40.099973,-0.099145,0.007670,-2.970000,-2.770000
40.199975,-0.042971,0.028407,-3.060000,-3.200000
40.300015,-0.041892,0.018961,-3.150000,-3.220000
40.399999,-0.061240,0.079387,-3.050000,-2.850000
40.499992,-0.024559,0.075631,-2.430000,-2.940000
40.600008,-0.046928,0.063969,-1.670000,-3.290000
40.699972,0.011196,0.069507,-1.340000,-3.450000
40.799978,0.029373,0.014506,-1.550000,-3.360000
40.900007,0.054151,0.041673,-1.960000,-3.180000
40.999976,0.040680,0.021328,-2.250000,-3.180000
41.099987,0.087911,0.045832,-2.310000,-3.060000
41.199983,0.060353,0.055001,-1.950000,-2.900000
41.300008,0.078699,0.059933,-1.740000,-2.680000
41.400020,0.082960,0.071624,-1.600000,-2.370000
41.500011,0.142616,0.041977,-1.690000,-1.930000
41.600010,0.090671,0.071622,-1.710000,-1.310000
41.700004,0.096141,0.034727,-1.720000,-1.090000
41.800001,0.051927,0.037874,-1.590000,-1.310000
41.899996,0.055928,0.055182,-1.730000,-1.450000
41.999997,0.034534,0.008137,-1.550000,-1.310000
42.099999,0.045527,0.004342,-1.540000,-1.170000
42.200017,0.014283,-0.021682,-1.460000,-1.320000
42.300045,0.022942,0.027958,-1.390000,-1.400000
42.399999,-0.017035,-0.008314,-1.370000,-1.370000
42.500029,0.011735,0.005323,-1.650000,-1.190000
42.599988,-0.047803,-0.002915,-1.740000,-1.380000
42.700007,-0.030337,-0.004562,-1.770000,-1.880000
42.799979,-0.052652,0.030425,-1.370000,-2.510000
42.899975,-0.020568,-0.020236,-1.140000,-2.920000
42.999989,-0.012478,-0.028201,-1.180000,-2.970000
